symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket,screen_type,expense_ratio_pct,tilt_cap_min_pct,tilt_cap_max_pct,tilt_cap_notes,indicator_modifier,adjusted_score,adjusted_conviction
ITA,U.S. aerospace and defense benchmark,U.S. sector benchmark,0.14892160743573438,0.2241166667690478,0.6644825196744429,-0.5099665979758952,NA,0.4,0.5,0.4,0.4300000000000001,3.7,3.5,4,3.5,2.1500000000000004,3.7,3.5,4,3.5,3.2875,Watchlist or tactical,theme,NA,NA,NA,NA,0,3.29,Watchlist
WOOD,Global timber and forestry,Commodity theme,0.06585970459417105,0.2126721823551548,0.30967709958506817,-0.5020168528930595,NA,1,0.5,0.4,0.67,2.8,3,4,3.5,3.35,2.8,3,4,3.5,3.2625,Watchlist or tactical,theme,NA,NA,NA,NA,0,3.26,Watchlist
COPX,Copper miners,Commodity theme,0.2037313542356849,0.37001758137472623,0.5505991187736589,-0.6540648153657009,NA,0.4,0.5,0.2,0.3700000000000001,3.8,3.6,4,3.5,1.8500000000000003,3.8,3.6,4,3.5,3.2575000000000003,Watchlist or tactical,theme,NA,NA,NA,NA,0,3.26,Watchlist
EWG,Germany,Country ETF,0.08412794555684557,0.20938321693693768,0.4017893448555781,-0.46800911506251575,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
EWS,Singapore,Country ETF,0.0783456292887511,0.18031589471122003,0.43449097714998114,-0.4083788507734838,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
EWH,Hong Kong,Country ETF,0.06124128884879618,0.19617360289904717,0.31217904928988605,-0.427118849853888,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
KSA,Saudi Arabia,Country ETF,0.07746273403891317,0.20156398602576855,0.38430840531705945,-0.4056135106450649,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
QAT,Qatar,Country ETF,0.02836045461911054,0.18283195557497223,0.15511760255433593,-0.4028878513629407,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
THD,Thailand,Country ETF,0.04789904344913728,0.21499275323503975,0.22279375806110027,-0.4931786565710369,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
EWM,Malaysia,Country ETF,0.02368091343221692,0.17343953795224126,0.13653699561133376,-0.44248032973528806,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.24,Watchlist
